avgBitrate,maxBitrate,minBitrate,q25_bitrate,q50_bitrate,q75_bitrate,q90_bitrate,avgBuffer,maxBuffer,minBuffer,q25_buffer,q50_buffer,q75_buffer,q90_buffer,numOfStallings,avgStalling,maxStalling,minStalling,q25_stalling,q50_stalling,q75_stalling,q90_stalling,score
246.425,246.425,246.425,246.425,246.425,246.425,246.425,181.7696889,211.1690001,0,171.3249352,184.6821929,198.082795,206.11966,2,0.404500044,0.809000088,0,0.202250022,0.404500044,0.606750066,0.728100079,2
246.425,246.425,246.425,246.425,246.425,246.425,246.425,183.8783383,211.157,0,175.1015911,187.196196,199.320931,206.5956041,2,0.401000002,0.802000004,0,0.200500001,0.401000002,0.601500003,0.721800003,2.6
246.425,246.425,246.425,246.425,246.425,246.425,246.425,181.7696889,211.1690001,0,171.3249352,184.6821929,198.082795,206.11966,2,0.404500044,0.809000088,0,0.202250022,0.404500044,0.606750066,0.728100079,2.6
246.425,246.425,246.425,246.425,246.425,246.425,246.425,183.8783383,211.157,0,175.1015911,187.196196,199.320931,206.5956041,2,0.401000002,0.802000004,0,0.200500001,0.401000002,0.601500003,0.721800003,2.5
495.9148305,529.5,246.425,529.5,529.5,529.5,529.5,170.518371,198.817,0,160.4849543,173.3746619,186.2391501,193.9566022,2,0.403000002,0.806000004,0,0.201500001,0.403000002,0.604500003,0.725400003,2.8
246.425,246.425,246.425,246.425,246.425,246.425,246.425,182.532388,211.085,0,172.7689058,185.6133785,198.4552295,206.1843218,2,0.367499989,0.734999977,0,0.183749994,0.367499989,0.551249983,0.661499979,2.4
246.425,246.425,246.425,246.425,246.425,246.425,246.425,181.361111,211.1359999,0,170.6227565,184.2262441,197.8371834,205.9908228,2,0.388499928,0.776999857,0,0.194249964,0.388499928,0.582749893,0.699299871,2
246.425,246.425,246.425,246.425,246.425,246.425,246.425,181.361111,211.1359999,0,170.6227565,184.2262441,197.8371834,205.9908228,2,0.388499928,0.776999857,0,0.194249964,0.388499928,0.582749893,0.699299871,1.9
246.425,246.425,246.425,246.425,246.425,246.425,246.425,181.361111,211.1359999,0,170.6227565,184.2262441,197.8371834,205.9908228,2,0.388499928,0.776999857,0,0.194249964,0.388499928,0.582749893,0.699299871,2
246.425,246.425,246.425,246.425,246.425,246.425,246.425,181.361111,211.1359999,0,170.6227565,184.2262441,197.8371834,205.9908228,2,0.388499928,0.776999857,0,0.194249964,0.388499928,0.582749893,0.699299871,2.5
246.425,246.425,246.425,246.425,246.425,246.425,246.425,181.7696889,211.1690001,0,171.3249352,184.6821929,198.082795,206.11966,2,0.404500044,0.809000088,0,0.202250022,0.404500044,0.606750066,0.728100079,2.4
246.425,246.425,246.425,246.425,246.425,246.425,246.425,183.8783383,211.157,0,175.1015911,187.196196,199.320931,206.5956041,2,0.401000002,0.802000004,0,0.200500001,0.401000002,0.601500003,0.721800003,2.3
452.2977273,529.5,246.425,246.425,529.5,529.5,529.5,175.4010545,198.8029998,0,169.5883781,179.3835436,189.2037593,195.1332137,2,0.392499913,0.784999826,0,0.196249957,0.392499913,0.58874987,0.706499844,2.8
529.5,529.5,529.5,529.5,529.5,529.5,529.5,30.5829157,58.10199996,0,16.76601053,30.66777556,44.52512731,52.82412717,2,0.366999978,0.733999956,0,0.183499989,0.366999978,0.550499967,0.660599961,3
852.2916364,1036.744,529.5,529.5,1036.744,1036.744,1036.744,31.56258185,58.15499993,0,18.08922998,31.71863883,45.30757405,53.17189918,2,0.389499965,0.778999929,0,0.194749982,0.389499965,0.584249947,0.701099936,3.5
529.5,529.5,529.5,529.5,529.5,529.5,529.5,32.60466576,57.49528292,0,20.39783397,32.77715997,45.12376349,52.54741852,1,0,0,0,0,0,0,0,4.2
529.5,529.5,529.5,529.5,529.5,529.5,529.5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4.2
850.2572353,1036.744,529.5,529.5,1036.744,1036.744,1036.744,45.95268298,57.05002202,0,53.69640649,54.51778048,55.78536993,56.54462796,2,0.296249024,0.592498048,0,0.148124512,0.296249024,0.444373536,0.533248243,4.2
850.2572353,1036.744,529.5,529.5,1036.744,1036.744,1036.744,45.95268298,57.05002202,0,53.69640649,54.51778048,55.78536993,56.54462796,3,0.296249024,0.592498048,0,0.148124512,0.296249024,0.444373536,0.533248243,4.1
